Name,Description,Data Type,Range of Values,Percent of Missing Data
secondary_perk_1,Secondary perk 1 that was taken,Nominal,"['Presence of Mind', 'Biscuit Delivery', 'Magical Footwear', 'Cheap Shot', 'Sudden Impact', 'Second Wind', 'Legend: Haste', 'Nimbus Cloak', 'Revitalize', 'Manaflow Band', 'Absolute Focus', 'Shield Bash', 'Overgrowth', 'Transcendence', 'Cosmic Insight', 'Axiom Arcanist', 'Celerity', 'Bone Plating', 'Grisly Mementos', 'Triumph', 'Jack Of All Trades', 'Deep Ward', 'Conditioning', 'Demolish', 'Ultimate Hunter', 'Hextech Flashtraption', 'Coup de Grace', 'Triple Tonic', 'Cut Down', 'Sixth Sense', 'Font of Life', 'Gathering Storm', 'Taste of Blood', 'Legend: Alacrity', 'Approach Velocity', 'Relentless Hunter', 'Treasure Hunter', 'Cash Back', 'Scorch', 'Unflinching', 'Legend: Bloodline', 'Last Stand', 'Absorb Life', 'Waterwalking']",0
secondary_perk_2,Secondary perk 2 that was taken,Nominal,"['Cut Down', 'Jack Of All Trades', 'Cosmic Insight', 'Triple Tonic', 'Ultimate Hunter', 'Treasure Hunter', 'Overgrowth', 'Triumph', 'Transcendence', 'Bone Plating', 'Scorch', 'Waterwalking', 'Biscuit Delivery', 'Second Wind', 'Manaflow Band', 'Last Stand', 'Legend: Haste', 'Gathering Storm', 'Magical Footwear', 'Approach Velocity', 'Coup de Grace', 'Hextech Flashtraption', 'Demolish', 'Nimbus Cloak', 'Revitalize', 'Relentless Hunter', 'Axiom Arcanist', 'Cheap Shot', 'Sudden Impact', 'Celerity', 'Legend: Alacrity', 'Conditioning', 'Shield Bash', 'Presence of Mind', 'Deep Ward', 'Absolute Focus', 'Grisly Mementos', 'Unflinching', 'Font of Life', 'Cash Back', 'Taste of Blood', 'Sixth Sense', 'Absorb Life']",0
summoner1Id,The first summoner spell the player took,Nominal,"['Heal', 'Flash', 'Barrier', 'Exhaust', 'Teleport', 'Smite', 'Ignite', 'Ghost', 'Cleanse']",0
summoner2Id,The second summoner spell the player took,Nominal,"['Flash', 'Barrier', 'Smite', 'Teleport', 'Heal', 'Ignite', 'Cleanse', 'Exhaust', 'Ghost']",0
defense,Defense stats,Ratio,"(5001, 5013)",0
flex,"Flex stats(could be health, cool down reduction etc.)",Ratio,"(5001, 5010)",0
offense,Offensive stats,Ratio,"(5005, 5008)",0
goldEarned,Total gold that the player earned,Ratio,"(502, 26280)",0
goldSpent,Total gold that the player spent,Ratio,"(0, 39050)",0
bountyLevel,Bounty level that the player reached,Ratio,"(0, 30)",0
