Feature,Importance
secondary_perk_2_Nimbus Cloak,0.0
secondary_perk_2_Overgrowth,0.0
secondary_perk_2_Presence of Mind,0.0
secondary_perk_2_Relentless Hunter,0.0
secondary_perk_2_Revitalize,0.0
secondary_perk_2_Scorch,0.0
secondary_perk_2_Second Wind,0.0
secondary_perk_2_Shield Bash,0.0
secondary_perk_2_Sixth Sense,0.0
secondary_perk_2_Sudden Impact,0.0
secondary_perk_2_Transcendence,0.0
secondary_perk_2_Treasure Hunter,0.0
secondary_perk_2_Triple Tonic,0.0
secondary_perk_2_Triumph,0.0
secondary_perk_2_Ultimate Hunter,0.0
secondary_perk_2_Unflinching,0.0
secondary_perk_2_Waterwalking,0.0
summoner1Id_Barrier,0.0
summoner1Id_Cleanse,0.0
summoner1Id_Exhaust,0.0
summoner1Id_Flash,0.0
summoner1Id_Ghost,0.0
summoner1Id_Heal,0.0
summoner1Id_Ignite,0.0
summoner1Id_Smite,0.0
summoner1Id_Teleport,0.0
summoner2Id_Barrier,0.0
summoner2Id_Cleanse,0.0
summoner2Id_Exhaust,0.0
summoner2Id_Flash,0.0
summoner2Id_Ghost,0.0
summoner2Id_Heal,0.0
summoner2Id_Ignite,0.0
summoner2Id_Teleport,0.0
item0_0,0.0
item0_Abyssal Mask,0.0
item0_Aether Wisp,0.0
item0_Amplifying Tome,0.0
item0_Ardent Censer,0.0
item0_Armored Advance,0.0
item0_Axiom Arc,0.0
item0_B. F. Sword,0.0
item0_Bami's Cinder,0.0
item0_Bandleglass Mirror,0.0
item0_Banshee's Veil,0.0
item0_Berserker's Greaves,0.0
item0_Black Cleaver,0.0
item0_Blackfire Torch,0.0
item0_Blade of The Ruined King,0.0
item0_Blasting Wand,0.0
item0_Blighting Jewel,0.0
item0_Bloodletter's Curse,0.0
item0_Bloodsong,0.0
item0_Bloodthirster,0.0
item0_Boots,0.0
item0_Boots of Swiftness,0.0
item0_Bramble Vest,0.0
item0_Caulfield's Warhammer,0.0
item0_Celestial Opposition,0.0
item0_Chain Vest,0.0
item0_Chainlaced Crushers,0.0
item0_Chempunk Chainsword,0.0
item0_Cloak of Agility,0.0
item0_Cloth Armor,0.0
item0_Control Ward,0.0
item0_Cosmic Drive,0.0
item0_Crimson Lucidity,0.0
item0_Cryptbloom,0.0
item0_Cull,0.0
item0_Dagger,0.0
item0_Dark Seal,0.0
item0_Dawncore,0.0
item0_Dead Man's Plate,0.0
item0_Death's Dance,0.0
item0_Doran's Blade,0.0
item0_Doran's Ring,0.0
item0_Doran's Shield,0.0
item0_Dream Maker,0.0
item0_Echoes of Helia,0.0
item0_Eclipse,0.0
item0_Edge of Night,0.0
item0_Essence Reaver,0.0
item0_Executioner's Calling,0.0
item0_Experimental Hexplate,0.0
item0_Fated Ashes,0.0
item0_Fiendish Codex,0.0
item0_Fimbulwinter,0.0
item0_Forbidden Idol,0.0
item0_Force of Nature,0.0
item0_Frozen Heart,0.0
item0_Giant's Belt,0.0
item0_Glacial Buckler,0.0
item0_Glowing Mote,0.0
item0_Guardian Angel,0.0
item0_Guinsoo's Rageblade,0.0
item0_Gunmetal Greaves,0.0
item0_Gustwalker Hatchling,0.0
item0_Haunting Guise,0.0
item0_Hearthbound Axe,0.0
item0_Heartsteel,0.0
item0_Hexdrinker,0.0
